Version,3.0.0,,,,,,,,,
setCompID,setID,setType,partID,label,enumeration,status,firstReleased,lastUpdated,changes,notes
collAppxSet_aft,collAppxSet,mmaSets,aft,Afternoon,2,active,2.3.0,2.3.0,,
collAppxSet_eve,collAppxSet,mmaSets,eve,Evening,3,active,2.3.0,2.3.0,,
collAppxSet_night,collAppxSet,mmaSets,night,Night,4,active,2.3.0,2.3.0,,
collectSet_areaPr,collectSet,mmaSets,areaPr,Area proportional sample,1,active,2.0.0,2.0.0,,
collectSet_cosca,collectSet,mmaSets,cosca,COSCa ball,2,active,2.0.0,2.0.0,,
collectSet_flowPr,collectSet,mmaSets,flowPr,Flow proportional sample,3,active,1.0.0,2.0.0,,
collectSet_grb,collectSet,mmaSets,grb,Grab sample,4,active,1.0.0,2.0.0,,
collectSet_moorSw,collectSet,mmaSets,moorSw,Moore swab passive sample,5,active,1.0.0,2.0.0,,
collectSet_surfSw,collectSet,mmaSets,surfSw,Surface swab,6,active,2.0.0,2.0.0,,
collectSet_timePr,collectSet,mmaSets,timePr,Time proportional sample,7,active,1.0.0,2.0.0,,
collectSet_volPr,collectSet,mmaSets,volPr,Volume proportional sample,8,active,2.0.0,2.0.0,,
collectSet_comp,collectSet,mmaSets,comp,Composite sample - archival,9,active,2.0.0,2.0.0,,
collectSet_manComp,collectSet,mmaSets,manComp,Manual Composite Sample,10,active,2.0.0,2.0.0,,
collectSet_passiveGen,collectSet,mmaSets,passiveGen,Passive Sample - General,11,active,2.0.0,2.0.0,,
collectSet_core,collectSet,mmaSets,core,Core sampling,12,active,2.3.0,2.3.0,,
collectSet_vac,collectSet,mmaSets,vac,Vacuum sludge sampling,13,active,2.3.0,2.3.0,,
collectSet_cone,collectSet,mmaSets,cone,Cone-shaped sampling,14,active,2.3.0,2.3.0,,
collectSet_horGrb,collectSet,mmaSets,horGrb,Horizontal grab sampling,15,active,2.3.0,2.3.0,,
collectSet_vertGrb,collectSet,mmaSets,vertGrb,Vertical grab sampling,16,active,2.3.0,2.3.0,,
collectSet_trap,collectSet,mmaSets,trap,Passive (trap) sampling,17,active,2.3.0,2.3.0,,
collectSet_autoComp,collectSet,mmaSets,autoComp,Automatic composite sampling,18,active,2.3.0,2.3.0,,
collectSet_autoSeq,collectSet,mmaSets,autoSeq,Automatic sequential sampling,19,active,2.3.0,2.3.0,,
collectSet_bagFilt,collectSet,mmaSets,bagFilt,Bag Mediated Filtration,20,active,3.0.0,3.0.0,,
conductivityUnitSet_uSCm,conductivityUnitSet,unitSets,uSCm,Micro-Siemens per centimetre,1,active,2.0.0,2.0.0,,
conductivityUnitSet_mmhocm,conductivityUnitSet,unitSets,mmhocm,Millimho per centimeter,2,active,3.0.0,3.0.0,,
conductivityUnitSet_mScm,conductivityUnitSet,unitSets,mScm,MilliSiemen per centimeter,3,active,3.0.0,3.0.0,,
conductivityUnitSet_umhocm,conductivityUnitSet,unitSets,umhocm,Micromho per centimeter,4,active,3.0.0,3.0.0,,
conductivityUnitSet_hUn,conductivityUnitSet,unitSets,hUn,See Header for Unit,5,active,3.0.0,3.0.0,,
conSeqSoftSet_geneious,conSeqSoftSet,mmaSets,geneious,Geneious,1,active,2.3.0,2.3.0,,
conSeqSoftSet_mafft,conSeqSoftSet,mmaSets,mafft,MAFFT,2,active,2.3.0,2.3.0,,
conSeqSoftSet_clustalO,conSeqSoftSet,mmaSets,clustalO,Clustal Omega,3,active,2.3.0,2.3.0,,
conSeqSoftSet_mega,conSeqSoftSet,mmaSets,mega,Molecular Evolutionary Genetics Analysis (MEGA),4,active,2.3.0,2.3.0,,
conSeqSoftSet_samTools,conSeqSoftSet,mmaSets,samTools,SAMtools,5,active,2.3.0,2.3.0,,
conSeqSoftSet_bioEdit,conSeqSoftSet,mmaSets,bioEdit,BioEdit,6,active,2.3.0,2.3.0,,
conSeqSoftSet_bcfTools,conSeqSoftSet,mmaSets,bcfTools,Bcftools,7,active,2.3.0,2.3.0,,
conSeqSoftSet_embossCons,conSeqSoftSet,mmaSets,embossCons,Emboss Cons,8,active,2.3.0,2.3.0,,
conSeqSoftSet_aliView,conSeqSoftSet,mmaSets,aliView,AliView,9,active,2.3.0,2.3.0,,
conSeqSoftSet_seqManPro,conSeqSoftSet,mmaSets,seqManPro,SeqMan Pro (Lasergene),10,active,2.3.0,2.3.0,,
conSeqSoftSet_uGene,conSeqSoftSet,mmaSets,uGene,Ugene,11,active,2.3.0,2.3.0,,
conSeqSoftSet_spades,conSeqSoftSet,mmaSets,spades,SPAdes,12,active,2.3.0,2.3.0,,
conSeqSoftSet_bwa,conSeqSoftSet,mmaSets,bwa,BWA (Burrows-Wheeler Aligner),13,active,2.3.0,2.3.0,,
contactTableSet_sites,contactTableSet,dictSets,sites,Sites table,1,active,2.0.0,2.0.0,,
contactTableSet_organizations,contactTableSet,dictSets,organizations,Organization table,2,active,2.0.0,2.0.0,,
contactTableSet_contacts,contactTableSet,dictSets,contacts,Contact table,3,active,2.0.0,2.0.0,,
contactTableSet_addresses,contactTableSet,dictSets,addresses,Address table,4,active,2.0.0,2.0.0,,
contMeasImpSet_homeOrder,contMeasImpSet,mmaSets,homeOrder,Stay-at-home order,1,active,3.0.0,3.0.0,,
contMeasImpSet_borderClos,contMeasImpSet,mmaSets,borderClos,Border closure,2,active,3.0.0,3.0.0,,
contMeasImpSet_schoolClos,contMeasImpSet,mmaSets,schoolClos,School closure,3,active,3.0.0,3.0.0,,
contMeasImpSet_lockdown,contMeasImpSet,mmaSets,lockdown,Lockdown,4,active,3.0.0,3.0.0,,
contMeasImpSet_maskMand,contMeasImpSet,mmaSets,maskMand,Mask mandate,5,active,3.0.0,3.0.0,,
contMeasImpSet_socialDist,contMeasImpSet,mmaSets,socialDist,Social distancing measures,6,active,3.0.0,3.0.0,,
crosswalkTableSet_enaMap,crosswalkTableSet,dictSets,enaMap,European Nucleotide Association Mapping Column,1,active,2.2.2,2.2.2,,
crosswalkTableSet_enaNotes,crosswalkTableSet,dictSets,enaNotes,European Nucleotide Association (ENA) - notes,2,active,2.2.2,2.2.2,,
crosswalkTableSet_ncbi,crosswalkTableSet,dictSets,ncbi,National Center for Biotechnology Information,3,active,2.2.2,2.2.2,,
crosswalkTableSet_ncbiNotes,crosswalkTableSet,dictSets,ncbiNotes,NCBI - notes,4,active,2.2.2,2.2.2,,
crosswalkTableSet_norman,crosswalkTableSet,dictSets,norman,NORMAN,5,active,2.2.2,2.2.2,,
crosswalkTableSet_normanNotes,crosswalkTableSet,dictSets,normanNotes,NORMAN - notes,6,active,2.2.2,2.2.2,,
crosswalkTableSet_nwss,crosswalkTableSet,dictSets,nwss,National Wastewater Surveillance System,7,active,2.2.2,2.2.2,,
crosswalkTableSet_nwssNotes,crosswalkTableSet,dictSets,nwssNotes,NWSS - notes,8,active,2.2.2,2.2.2,,
crosswalkTableSet_nwssProcess,crosswalkTableSet,dictSets,nwssProcess,NWSS - process,9,active,2.2.2,2.2.2,,
crosswalkTableSet_phage,crosswalkTableSet,dictSets,phage,PHAGE,10,active,2.2.2,2.2.2,,
crosswalkTableSet_phageNotes,crosswalkTableSet,dictSets,phageNotes,PHAGE - notes,11,active,2.2.2,2.2.2,,
crosswalkTableSet_version1Category,crosswalkTableSet,dictSets,version1Category,ODM V1 category,12,active,2.2.2,2.2.2,,
crosswalkTableSet_version1Location,crosswalkTableSet,dictSets,version1Location,ODM V1 location,13,active,2.2.2,2.2.2,,
crosswalkTableSet_version1Table,crosswalkTableSet,dictSets,version1Table,ODM V1 table,14,active,2.2.2,2.2.2,,
