partID,label,partType,partDesc,partInstr,fKAliasID,domain,specimenSet,compartmentSet,group,class,nomenclature,ontologyRef,latExp,mmaSet,unitSet,aggregationScale,aggregationSet,qualityIndSet,missingnessSet,status,firstReleased,lastUpdated,changes,protocolSteps,protocolStepsRequired,protocolStepsOrder,protocolRelationships,protocolRelationshipsRequired,protocolRelationshipsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,phActions,phActionsRequired,phActionsOrder,calculations,calculationsRequired,calculationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygonRelationships,polygonRelationshipsRequired,polygonRelationshipsOrder,polygons,polygonsRequired,polygonsOrder,accessions,accessionsRequired,accessionsOrder,languages,languagesRequired,languagesOrder,translations,translationsRequired,translationsOrder,parts,partsRequired,partsOrder,sets,setsRequired,setsOrder,qualityReports,qualityReportsRequired,qualityReportsOrder,sampleRelationships,sampleRelationshipsRequired,sampleRelationshipsOrder,protocols,protocolsRequired,protocolsOrder,countries,countriesRequired,countriesOrder,zones,zonesRequired,zonesOrder,wideNames,wideNamesRequired,wideNamesOrder,refLink,dataType,minValue,maxValue,minLength,maxLength
polygons,Polygon table,tables,The table that contains information about the geometry of a geographic area. The short name for the table (partID) can be found in the instructions field.,po,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,programDescr,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,1.0.0,2.0.0,"description wording, structure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header,optional,67,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
polyPop,Polygon Population,measurements,"An attribute of a polygon, which specifies the population of that polygon. A rough estimate of the number of human residents.",,,phy,siSpecimenSet,anyCompartmentSet,measGrp,popClass,naNomenclature,,,,populationUnitSet,seeUnitAggScale,otherAggrSet,genQualitySet,genMissingnessSet,active,2.0.0,2.3.0,Updated to a measurement after being removed as a header in the polygons table.,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,integer,0,,,
polySiSpecimenSet,Polygon or site specimen set,specimenSets,A specimen set that inculdes polygon or site specimen.,,,naDomain,polySiSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,input,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,50
polySpecimenSet,Polygon specimen set,specimenSets,A specimen set that inculdes only a polygon specimen.,,,naDomain,polySpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,input,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,50
pooled,Pooled,attributes,"Is this a pooled sample, and therefore composed of multiple child samples obtained at different sites",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,booleanSet,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,1.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,header,optional,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boolean,,,0,30
pop,Population,specimens,An measure or observation for a geographic area or population. ,"Examples include human compartment measures such as case numbers, hospitalization rates for diseases or surface or air compartment measures such as snow coverage or ambient temperature.",,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,1.0.0,2.0.0,added in V2.0.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
popAreaSet,Populated area type set,mmaSets,Set of valid values used to describe the type of a populated area.,,,allDo,naSpecimenSet,anyCompartmentSet,popGrp,popClass,naNomenclature,,,popAreaSet,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,30
popAreaType,Populated area type,measurements,"Type of populated area being sample (ie. urban, rural)",,,phy,siSpecimenSet,anyCompartmentSet,siteFeat,popClass,naNomenclature,,,popAreaSet,naUnitSet,qualAggScale,naAggrSet,genQualitySet,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,categorical,,,0,50
popAs,Population assessment method,methods,Method for assessing the population count for a site/polygon.,,,allDo,saSpecimenSet,anyCompartmentSet,popGrp,popClass,naNomenclature,,,popMetSet,naUnitSet,qualAggScale,naAggrSet,genQualitySet,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,categorical,,,0,30
popClass,Population Class,classes,"Measures and methods relating to population (ie. Measures of population, location).",,,phy,naSpecimenSet,humanCompartmentSet,naGroup,popClass,naNomenclature,,,,populationUnitSet,seeUnitAggScale,naAggrSet,genQualitySet,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
popDateTypeDep,Type of date for case reporting depreciated,attributes,"Type of date used for confirmed cases. Typically, report or episode are reported. Onset and test date is not usually reported within aggregate data.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,methodConcSet,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,depreciated,1.0.0,2.0.0,depreciated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,30
popDensity,Population density,measurements,Measure of population density of a site.,,,phy,siSpecimenSet,anyCompartmentSet,siteFeat,popClass,naNomenclature,,,,popDensUnitSet,quantAggScale,linearAggrSet,measQualitySet,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
popDensUnitSet,Population density unit set,unitSets,Unit set for measures of population density of a site.,,,naDomain,naSpecimenSet,anyCompartmentSet,naGroup,naClass,naNomenclature,,,,popDensUnitSet,seeUnitAggScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,30
popEq,Population equivalents,units,"A unit for measuring of design capacity for wastewater treatment plants, represented as the approximate amount of water a signle person would use.",,,phy,siSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,$pe$,,naUnitSet,quantAggScale,linearAggrSet,,,active,1.0.0,2.0.0,"description wording, structure; github issue #123",input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,float,0,,,
popGrp,Population group,groups,A group of measures/methods related to population-level factors.,"Examples might be case numbers, hospitalization rates, etc.",,allDo,poSpecimenSet,anyCompartmentSet,popGrp,naClass,naNomenclature,,,,naUnitSet,seeUnitAggScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
